Date / Period,Business Unit / Department,Revenue (Actual),Revenue (Budget / Forecast),Cost of Goods Sold (COGS),Gross Profit,Operating Expenses (OPEX),EBITDA,Net Income,Cash Inflows,Cash Outflows,Net Cash Flow,Cash Balance,Accounts Receivable (AR),Accounts Payable (AP),Days Sales Outstanding (DSO),Days Payable Outstanding (DPO),Working Capital,Total Assets,Total Liabilities,Equity,Debt Outstanding,Debt-to-Equity Ratio,Current Ratio,Budget Variance (%),Year-over-Year Growth (%),Return on Equity (ROE),Return on Assets (ROA),Gross Margin %,Operating Margin %,EBITDA Margin %,Inventory Value,Inventory Turnover,Capital Expenditure (CapEx),Operational Expenditure (OpEx),Headcount,Cost per Employee,Sales Pipeline Value,Order Backlog
6/16/2017,IT,238779,514572,57845,293266,35721,172280,34753,148701,184368,83549,105036,75667,186402,51,76,-45458,3180843,3848874,2485778,1605856,2.14,1.32,-8.58,-18.68,15.68,4.42,42.6,27.18,32.98,13165,4.41,115117,129739,3826,120592,687744,286123
6/20/2022,Finance,330429,350785,153531,10880,16041,132467,116564,340927,287407,57119,818654,20283,61496,16,17,143650,2733890,407520,992984,464167,1.14,1.79,-6.81,5.84,6.94,8.65,62.67,8.98,29.98,301941,3.29,111209,18028,3381,68320,642393,76641
6/29/2024,Marketing,50879,197641,102005,234353,41829,173981,117568,264332,192038,54979,159985,101972,86447,96,26,299506,996805,1318349,1423822,64586,1.3,0.51,8.51,30.64,-5.47,9.7,15.87,10.77,29.72,348141,5.6,86478,76397,1994,140623,584615,203388
3/8/2017,HR,411160,83877,62723,267524,84055,171625,4055,349533,42603,78663,348434,77281,191370,58,46,123009,2313272,892626,1208190,668618,2.94,2.66,-0.1,6.9,5.86,19.72,24.24,22.11,16.52,437379,1.11,24854,58954,104,111796,621688,285389
11/5/2022,Marketing,450532,167088,149433,256508,121959,166216,93374,326344,248756,7101,405205,62166,98181,106,52,102850,2922583,3039367,2455614,532752,1.71,1.36,-19.82,-18.49,14.45,14.1,48.18,26.93,29.98,111146,3.91,162152,35112,941,123208,877298,35431
7/27/2018,Marketing,324101,481518,186386,253920,70347,103273,100325,56850,106325,49515,273888,154494,151048,49,56,292980,1052335,2648341,400077,1583260,1.03,3.2,14.9,48.31,21.55,6.49,36.96,13.03,16.26,48834,4.13,190875,298144,2440,154831,633616,126698
4/10/2024,HR,209766,344937,142121,187421,17827,73552,6433,87658,287041,88107,590435,152749,111061,72,66,51111,1570510,1622618,2528070,1009168,0.88,2.07,-16.53,15.95,6.05,16.05,53.52,13.06,13.49,422047,1.99,111106,17429,2285,130689,407946,92111
11/1/2016,IT,458846,342698,48550,157516,27435,83115,27409,150913,167019,92347,879719,178999,54764,85,71,251314,671868,230621,1123505,1717406,0.39,2.13,11.47,2.14,16.92,3.13,27.58,16.09,16.34,365784,7.32,189825,292317,2951,172703,543260,186499
1/5/2021,Sales,496856,183164,194740,161630,28142,191793,30838,69567,149947,32110,521810,12979,104420,26,26,195201,701098,811222,295929,407286,2.95,1.45,-16.08,-16.95,-0.95,-1.2,62.08,38.7,15.74,404734,7.13,67175,64106,2126,145263,489024,71751
10/10/2023,IT,280651,62061,146878,249843,52311,162134,12635,341961,272240,-22826,111430,67720,159935,109,96,696,3544192,3514835,932950,1856202,1.12,2.46,-21.54,25.56,-2.37,18.52,77.62,17.45,32.03,22350,3.2,172307,141582,2073,147773,770003,265720
6/14/2017,HR,237213,290642,196658,214361,62999,11310,136899,155142,248230,-45824,427461,170429,5897,113,36,149438,4845495,2469091,2820840,363455,2.48,0.93,-26.29,-18.05,12.07,-3.11,31.23,38.4,29.78,390285,8.9,108106,113583,4823,157018,851973,467054
11/6/2024,HR,268917,85454,140830,19632,99997,105164,84111,397397,243096,42441,200073,199456,84184,31,110,72144,1795514,1977667,1023110,1457021,0.6,1.6,23.49,21.48,7.95,5.49,24.34,13.39,7.71,425768,3.26,110989,284103,3165,26391,118797,450184
3/6/2016,Marketing,430623,305165,53952,105387,89999,168720,14924,310890,45539,56835,496293,106762,117603,93,65,-6077,3034978,3865531,1509825,879151,2.57,2.86,6.8,-11.76,-7.42,7.57,51.71,39.88,18.0,122459,5.33,40793,142548,1922,155378,246737,251703
4/28/2020,HR,98895,123480,171419,153699,83423,119837,117725,270399,106069,409,464838,136287,14265,31,43,159581,2163968,146832,1861655,419927,2.06,0.65,-16.8,10.27,7.61,2.55,31.81,46.24,18.84,375505,4.29,104403,61910,4242,122012,338866,376770
12/24/2017,Sales,377012,258654,116980,203795,60249,36028,42339,135579,109209,55824,186039,52978,85223,103,85,194524,100555,213586,2544542,1744209,2.3,2.97,-5.12,-16.47,-5.45,2.45,61.49,37.01,35.05,17347,5.87,54067,20432,2748,31025,242312,486521
11/19/2022,Finance,285185,479910,25402,137243,56839,29999,34790,202854,255962,5919,990421,154306,162140,103,47,115311,2728527,3322270,2883402,508233,2.34,3.3,6.8,22.35,-2.8,12.26,18.37,14.41,25.14,194503,3.76,117615,143220,2516,54566,805831,315290
8/10/2015,Finance,94437,283311,72330,175577,131372,39087,11392,342160,270181,93636,474800,169672,87848,114,20,203060,440432,3139999,55573,395497,1.89,2.87,28.12,-4.87,5.44,10.92,60.73,32.5,15.35,407318,9.73,173730,229988,4563,125395,356698,232261
7/6/2018,Operations,143030,137155,60514,41555,128849,83248,112359,274976,20827,49426,184952,58541,25827,23,14,233429,658009,1150732,1709156,325745,2.79,1.09,-21.57,0.64,24.38,1.84,21.92,17.22,31.09,205409,5.87,70318,299384,1528,131466,347093,22762
10/28/2019,HR,123879,457820,89685,146889,22382,15120,44278,265346,38861,84123,895832,5837,101228,75,15,165926,2984704,126062,585187,1317338,2.65,0.9,-10.28,31.04,-7.29,13.27,61.17,16.88,20.87,127630,6.81,61292,76070,1144,37533,168886,255494
1/16/2022,Marketing,213093,483387,118573,231481,108920,120328,83607,212035,258439,71496,238233,122244,62004,114,65,42457,1448987,687932,1614182,1176098,2.36,0.84,-22.29,47.65,-5.19,3.7,39.27,13.92,5.69,460440,9.36,89129,82608,1926,90433,531421,41538
7/19/2018,Operations,375691,473753,56414,91053,24014,195942,-8748,31108,85507,38536,556882,34642,16601,29,14,-2519,4497696,2841430,1748436,1482708,0.39,2.87,-3.77,9.17,-4.88,10.64,64.8,33.39,13.54,116225,3.81,100791,261824,4721,76816,956790,371173
7/20/2021,IT,182582,475807,97141,82823,129921,112389,12124,249329,201015,20636,669736,161388,195642,104,56,-48142,3750885,2306614,2007404,1432267,1.18,2.87,3.62,10.05,23.22,-4.18,26.0,33.11,39.44,57216,3.04,55613,197021,299,96772,631300,408183
1/16/2015,HR,314708,156592,56205,114794,11860,171851,53756,303855,269497,84949,15198,149568,73201,28,69,240582,1541180,2203795,140070,809296,1.84,1.83,-20.43,39.08,13.8,5.34,35.13,21.92,35.25,128180,1.28,46950,82460,134,129386,976823,379348
5/6/2015,IT,443556,102742,114804,114573,38834,74274,68695,371730,94983,-46107,867467,67166,36313,31,107,217545,1654258,3940422,2088460,441671,2.3,0.6,-15.63,0.44,21.0,-0.77,54.27,44.4,37.9,315459,1.03,113462,151763,1965,138659,368583,450132
8/21/2018,Finance,269300,213391,83182,25528,34049,13613,27539,322726,281405,18315,701402,191030,132854,10,49,-60406,3910893,785089,180562,1660493,1.39,1.2,17.52,3.25,18.16,14.22,49.86,24.14,28.41,463725,5.84,112441,111287,3202,55098,132674,439970
5/16/2020,Finance,246109,142019,70753,157239,114377,46342,24198,294013,242671,-13272,422493,92445,141440,43,45,384,4122878,3879465,507619,1138918,0.35,0.97,16.39,6.76,5.54,-2.21,67.46,33.89,11.02,423102,1.65,130466,102440,365,82943,692766,497604
4/9/2017,Marketing,423565,254249,139058,158428,108452,14309,56529,120238,295722,-48227,861224,24042,159538,83,28,-59529,4576982,2263099,2336612,1787431,0.72,1.64,-2.78,-11.9,3.35,0.16,47.41,24.98,20.79,294406,8.06,40167,96257,2615,62382,123169,197673
12/8/2015,Finance,128235,216059,65349,135410,125580,6015,-16356,188674,177489,-7471,584777,96774,143441,51,50,107477,1626140,3190018,1932896,670657,0.93,2.65,10.28,0.47,3.55,8.47,48.78,18.75,23.32,386853,6.56,56613,16570,3499,49149,183335,213420
9/29/2023,Operations,216805,435902,83876,125311,101240,182506,97386,204204,90143,14452,676517,143397,82781,87,113,15787,4183280,3891068,1804939,1520892,1.36,2.24,29.65,-19.72,3.29,5.36,27.02,38.95,9.85,126737,3.58,161398,155641,201,94436,439861,463590
5/6/2016,Sales,140522,458974,142260,262726,28746,18283,77660,173465,73555,-38899,125527,84912,84750,12,78,216416,4409245,113799,374413,431368,1.73,3.04,10.87,-15.59,24.9,8.13,10.88,38.9,27.63,13332,4.53,77776,299343,1378,54044,932319,431462
10/8/2017,IT,407463,350852,116738,12489,41490,153409,89308,64183,198893,95849,64689,191438,128591,54,35,169165,4801554,954302,2751406,515132,2.23,0.64,13.86,19.66,4.99,-0.4,19.52,9.49,12.2,271345,4.33,134470,296585,2522,150830,590042,185449
1/28/2019,Marketing,452504,326414,115340,18303,54758,137468,144108,74746,33425,96197,767897,162512,117936,88,38,36988,3186031,3023473,1753118,1494088,2.92,1.1,14.18,37.27,-5.54,-1.95,21.18,8.73,13.72,49843,9.12,199050,28080,2484,38860,854699,325816
12/9/2021,Finance,367679,109307,26394,39759,13831,75487,122603,364588,124494,851,325994,87524,80371,48,58,-25058,4759846,3186332,1104547,319709,0.67,3.16,-23.47,47.38,13.17,4.07,16.48,28.5,21.04,352385,6.07,20944,74821,321,192583,569783,297087
11/30/2021,IT,136785,494627,92513,219270,67815,81977,131685,265814,97792,50033,525801,83695,149082,102,48,13274,2661439,3004294,1912213,1350053,2.36,1.37,27.34,18.6,22.66,16.33,11.31,46.74,33.69,217970,2.93,117681,105344,1762,198707,846354,20230
11/23/2023,Sales,87250,294139,21731,194225,139292,101326,140149,246856,293890,91216,900687,11924,13584,93,10,224953,4528638,3794392,1205539,1193539,1.96,2.96,-18.97,-18.9,1.81,8.92,67.39,38.93,16.26,365345,7.04,76151,134506,3868,54271,513679,473629
6/24/2015,Sales,362087,168094,77717,298660,109044,166016,21463,396165,148902,-15530,752839,24528,79457,111,92,226020,1269347,2075152,2579508,1297815,2.52,1.59,17.57,3.31,22.5,10.16,35.55,24.75,28.45,470013,5.34,155673,105988,2959,128578,937570,382941
8/21/2019,Operations,183048,535363,112295,55071,54640,97089,23472,156707,60026,32343,614812,137232,102397,101,13,126303,564245,2766209,782445,1737254,0.21,2.78,-22.89,30.45,23.82,11.43,75.72,34.26,24.21,34042,1.72,140521,99046,2247,178517,158918,300042
1/28/2015,IT,202142,499523,160358,178570,93942,14214,48124,264333,73568,-25516,268575,129612,25022,39,96,285041,1563320,3043693,2625455,1452825,1.67,1.62,1.07,36.57,-5.73,2.68,25.74,36.42,17.22,155255,4.05,174021,262761,620,133460,858033,114991
10/10/2019,Operations,490374,90017,158862,247269,42506,34885,54956,87497,179170,7167,693780,82089,42140,114,114,258300,1329407,3091190,301075,1597065,0.26,2.43,3.58,20.38,0.45,12.54,78.77,48.35,31.98,393691,3.43,35558,210664,2850,28539,653885,421876
5/30/2022,Operations,133178,334459,102277,99732,39275,198279,108752,348420,118141,11149,317251,8494,138672,21,55,-8913,2599964,1581138,1703046,515083,1.39,1.93,24.88,-18.05,17.49,11.79,30.93,22.65,19.44,187602,3.09,135365,289390,3527,131603,216721,474943
9/21/2015,Marketing,276543,494635,50473,236139,5755,181708,5521,49977,176062,4050,580947,109030,51846,91,67,-38875,3850969,2643796,2185630,1483617,1.03,2.57,12.3,-6.97,-3.26,13.86,20.91,16.65,20.13,439613,4.03,28141,182814,3766,172403,298044,147878
7/21/2016,Marketing,379638,459619,97958,128357,117220,60600,40038,283554,283576,82335,898127,98819,165634,12,101,153849,2567844,3845204,1620675,1032537,2.2,2.79,26.29,42.59,14.09,-4.16,69.55,31.84,24.6,303760,8.35,150813,29590,4630,193527,915312,314922
5/6/2019,IT,215096,401285,68105,217115,114324,167457,35059,37713,38092,64520,871098,115390,99234,27,11,172812,2822241,2789739,368912,1428607,2.13,2.32,-11.38,39.5,-3.11,6.99,52.77,45.38,25.14,374654,1.02,23426,170296,2688,137136,174310,305611
12/22/2016,Sales,213032,463110,106108,36736,87442,11821,91260,99826,191442,69635,52818,40891,5347,73,25,115503,2981461,3899666,2809852,938349,2.18,1.76,-0.23,21.16,-6.93,4.41,65.31,17.7,24.66,437469,1.47,13067,227709,817,131767,634596,31424
5/7/2020,Operations,103001,441477,23733,83817,29552,27969,75111,92637,128977,-27687,885804,103441,21942,101,90,177314,4400321,3098805,115060,1376961,0.13,2.28,-15.96,-6.12,18.6,3.64,19.47,28.74,16.63,31593,8.79,61039,83007,3777,184812,529702,300502
5/22/2020,HR,248969,278025,114129,137382,132368,87305,-3010,279602,162448,51163,643736,95256,107007,119,25,109937,4166809,1460049,1284639,833374,2.6,2.35,-0.45,-19.94,22.16,17.77,24.4,25.79,36.25,318827,8.03,137777,51780,4532,184181,468576,277390
7/4/2019,Marketing,245421,214464,144896,176868,128982,48811,61603,103120,209567,-8452,539527,45074,64447,101,48,-33225,1890484,826759,54095,1250355,2.67,2.57,0.89,-18.54,23.8,15.71,31.69,22.44,26.71,96673,6.4,31165,43656,4195,152964,411009,464520
8/12/2016,Sales,249077,200942,69007,192319,77867,165045,105485,214510,93240,-45758,432826,198522,116130,31,91,102494,3329948,3481682,1812868,1882129,1.34,1.09,-2.89,24.55,15.84,-4.83,42.42,18.97,29.55,374550,6.36,159862,231463,781,195522,502293,483297
5/20/2016,Marketing,200043,72607,136375,56276,5280,85901,112266,373140,64728,23761,744429,135834,23163,98,38,225328,2008892,1682957,2672948,1060038,1.3,0.91,-1.68,19.26,19.71,8.63,38.13,34.05,29.38,399245,7.19,128947,46072,4190,168173,704882,31406
7/21/2018,Finance,399732,373126,162367,186808,49601,51400,38897,190588,291731,-24563,18081,57374,68478,27,84,-4721,724101,615355,2778409,1557079,0.34,3.18,28.59,-3.44,9.29,4.92,10.2,5.88,23.84,81552,8.34,177443,59585,855,99448,50166,419868
12/23/2019,Sales,141867,395019,160336,240182,85576,104486,149706,212474,91888,75759,340758,175368,37564,32,106,2774,2632630,352295,1447061,315161,0.64,1.59,-22.4,23.17,17.54,1.48,64.28,11.73,15.11,206897,5.57,101038,276879,665,166325,70875,318080
9/13/2018,Sales,202814,288777,24467,37263,10048,172757,-19943,372896,43567,54718,106208,135129,72455,54,27,99872,4117286,1647932,1573650,1816559,1.95,2.9,14.9,13.83,7.99,17.59,35.37,18.74,26.9,160394,4.58,63838,229887,55,38107,91516,143648
7/4/2023,Finance,423596,196302,141250,38640,85238,128922,84949,150990,159063,45199,503034,121165,115848,19,43,200188,4420362,1566519,1943855,1878355,0.46,3.47,12.87,25.39,20.01,11.76,44.42,29.12,24.58,72920,9.95,194340,102910,1365,170746,306132,63425
11/16/2021,Operations,473861,202525,45954,231971,18869,59157,27015,292368,244969,-41278,524624,99913,104335,95,16,-82305,3873536,127903,2103521,1809954,2.88,3.05,1.7,3.65,0.54,0.3,48.28,39.32,7.53,226425,8.38,43501,84501,515,153542,143142,412786
10/3/2018,Sales,440654,263505,70194,240144,35022,20616,80493,90751,189990,3691,832382,122355,104365,113,27,51306,3846708,2923339,466782,1466406,2.98,0.77,-24.99,30.25,-5.34,5.18,11.56,20.22,14.51,256307,9.62,175436,155322,3929,147524,935702,427407
4/19/2016,Marketing,333148,350558,53575,25179,142290,190013,96796,107293,240779,6563,457444,169126,183408,110,46,16840,380583,1701592,2671838,1613401,0.69,2.06,-4.6,38.59,12.14,19.85,25.64,29.59,22.4,145647,4.69,82074,278898,4828,109148,731422,470725
4/10/2022,IT,135905,211962,181047,198259,121756,94642,41366,152062,298720,35822,483907,108196,24486,81,102,-21788,4849317,1436050,838055,344566,2.11,2.06,24.7,-12.52,-0.56,10.91,18.48,8.75,37.13,31306,5.45,183889,82582,250,31790,927386,303312
7/21/2021,Finance,287665,166948,149506,36117,9875,115065,-14712,245975,157486,17832,622467,57075,151398,95,109,217960,982495,1624233,1472610,1281166,0.83,2.86,21.32,-14.32,2.38,8.83,10.54,29.14,29.25,423236,2.99,71156,56650,3137,68116,593820,23104
7/6/2017,Marketing,73838,211563,77499,294187,19257,64923,25193,295793,69776,65764,687385,48578,62210,98,105,169291,1882619,1652702,154022,299750,1.14,0.52,23.97,18.27,-5.9,3.97,37.59,24.65,8.61,167988,8.27,123245,143657,1015,45925,235191,322376
1/13/2019,Operations,278114,363401,172503,127910,38628,95716,95421,392216,90846,-14055,810798,173409,100334,83,88,61774,3116243,2848294,2338334,1757148,2.31,1.74,-19.13,-8.14,1.99,9.12,15.05,28.24,19.27,109012,7.38,70253,90777,4923,90405,613993,121696
2/24/2020,Finance,115502,507848,136431,40447,53231,124977,110911,360036,79903,-405,421998,13208,97344,85,104,242504,1344616,1924100,612285,1933336,0.34,1.21,-15.8,-18.11,-0.46,10.99,22.67,37.31,10.05,352044,9.34,145078,292732,1213,61103,329282,67233
8/31/2018,Finance,275871,523379,46187,20406,109708,105446,69010,63384,70091,78936,122750,188468,64460,109,26,-9771,1534117,2437783,1256782,1098495,1.31,0.96,9.06,-4.85,8.78,12.0,72.98,46.36,6.19,36978,4.06,145631,242853,2670,37236,963598,67503
11/12/2020,Marketing,68547,213736,71521,284903,6606,15375,113650,153989,149031,41898,330240,79999,188277,38,85,-53609,2339343,3691842,1407854,1513534,1.43,1.22,-28.3,40.87,-5.93,1.48,63.79,9.85,17.39,190387,3.68,89597,90991,762,73602,67055,363532
4/26/2019,Operations,86973,494570,121280,271648,63265,41286,47710,110754,283757,-1042,213805,121433,168955,89,74,236172,3381651,3409876,112770,874458,0.73,1.28,1.19,18.05,6.49,4.51,74.14,47.72,22.75,318138,8.42,195028,251875,3241,22721,826183,67625
5/22/2017,HR,340414,360159,80815,175607,126177,51339,47408,52565,251930,-24754,151553,67380,92044,102,82,242303,3958258,3922282,2019096,1153787,2.26,0.77,-8.42,-7.41,13.55,8.91,49.9,25.57,26.22,431260,4.37,46822,213035,405,177646,474434,428586
1/3/2017,IT,259853,310621,107402,91002,114787,129603,130400,198321,88565,-28061,645249,117934,84740,82,10,271889,2623148,418294,1953225,1028654,2.42,1.26,24.43,38.3,11.82,19.89,65.57,36.83,32.5,334663,4.43,196190,282316,2752,136301,617373,128054
8/7/2020,Operations,497146,170966,171054,165874,70245,180874,143350,277536,255312,63084,744640,188216,182586,16,113,-78013,3650111,206407,108571,528844,0.54,2.94,-27.21,7.49,2.38,2.52,10.21,38.22,24.15,222262,1.23,54786,55753,4586,183039,59546,64569
8/1/2022,Sales,279841,174598,103225,35853,141530,51652,129253,252489,214400,-31520,948032,56242,173033,65,62,-3159,2794191,3946946,1740643,875609,0.76,2.05,-8.98,30.04,3.17,4.15,35.48,25.66,19.87,23354,5.97,101167,118896,3549,192051,990817,197431
8/26/2023,HR,320259,248944,179057,206542,128455,48095,106164,335359,80983,97211,318592,98013,66806,74,46,148212,3114215,1139921,2082528,1652330,0.37,2.32,15.42,20.87,22.86,10.33,70.76,31.53,30.92,72356,8.94,25879,221961,111,32141,536642,336411
3/14/2018,IT,149258,424418,128840,97428,32975,76457,113320,347850,163631,96152,487219,45932,177392,63,80,36674,3865606,806059,2917537,1179011,2.58,1.67,-26.93,-13.38,9.11,7.46,52.51,11.64,39.06,220611,4.92,87843,292008,3156,73622,907606,436871
9/2/2019,Operations,305956,158602,145510,65890,123165,184209,22264,166820,160863,4192,563370,140221,46395,101,70,281025,1212799,1115339,2070296,1938439,2.31,0.99,-10.04,-1.04,23.96,3.28,56.75,18.79,17.81,213364,1.84,89293,44429,3652,39700,689159,383101
11/17/2023,IT,308152,151182,96007,266893,42660,195220,120984,291880,153913,41960,581388,112357,36844,82,74,171094,4964543,1993273,1168676,1540988,1.71,2.13,-18.84,45.68,23.64,6.93,29.61,26.26,18.21,176719,2.26,56689,64714,668,162454,285410,272468
9/7/2019,Finance,127310,242340,84488,100897,57876,63209,10594,198704,211339,57525,394129,84929,189593,54,89,107643,2504013,3538520,947902,682133,2.99,2.56,-12.31,8.32,-8.51,5.52,27.23,34.53,23.05,254439,3.02,102666,59666,3026,21796,251510,262577
8/31/2023,Sales,230082,259978,142735,18123,81660,40301,7730,70018,24951,9109,149674,28356,33639,47,103,154578,2635882,318598,1352642,115455,0.87,3.47,25.16,33.66,-8.11,-1.23,76.51,23.9,22.2,400124,4.37,32267,198093,1846,172774,69374,305542
11/1/2023,Finance,261533,164650,152822,260257,148339,72177,-17813,77334,173240,-15343,966117,198881,180256,25,84,169540,2497960,3338240,246516,1133371,2.87,1.02,19.01,6.45,10.11,15.13,60.78,36.17,6.03,385704,2.91,194071,67066,2194,21168,32508,285546
10/24/2017,Finance,216682,324032,181104,288691,96477,198597,78833,160722,120113,74537,907578,71229,78833,45,21,165797,2270431,3117435,2107380,283542,1.83,3.03,-6.33,30.79,13.58,14.81,28.06,40.45,24.6,371362,6.66,48086,95789,3695,136211,144961,68819
9/29/2016,HR,403150,322240,111269,263795,63809,47851,86205,171134,273753,93258,814944,84875,6091,110,82,17693,4564360,1847089,2573519,808890,2.43,2.14,-2.77,-17.63,24.64,5.82,43.1,21.77,26.04,335441,6.74,30259,223751,4861,81850,87177,34806
8/30/2015,Operations,480055,253740,148556,262174,34928,136776,45416,307374,154207,86217,182313,140539,131206,80,75,46382,3707309,3878209,2555724,1283595,1.89,1.87,8.3,-6.2,15.47,15.0,12.5,27.84,14.85,266728,6.09,128772,33740,592,131472,178555,419346
12/25/2019,HR,471588,275264,159433,108460,130932,141222,129140,389403,81547,87637,475618,167438,198822,42,80,239774,4197705,2399798,2127937,795854,0.19,2.33,8.41,39.01,1.36,1.58,74.23,39.3,6.02,256456,1.33,81044,276023,782,50551,47998,241211
11/15/2017,IT,469669,482940,44142,190206,20936,23148,12762,354968,233787,41012,199568,44847,173987,119,54,36632,4700652,664158,2080400,864788,0.22,1.08,-1.24,-14.72,8.54,3.29,57.1,11.75,5.12,358101,4.25,147046,276733,2636,173949,39364,167595
10/21/2018,HR,287019,100348,51584,192401,147882,153753,14557,283430,156110,29388,638715,177752,57559,34,94,-22996,979840,1838366,1358784,757618,2.72,0.51,26.68,-14.96,18.33,-4.38,25.69,31.36,19.23,341802,9.89,73516,204614,2360,142344,127299,171890
8/29/2019,HR,459263,398025,167254,49346,95352,117764,123903,258735,296098,12001,246580,116605,108378,88,78,174122,4131247,648215,1236712,1527833,1.6,3.11,-25.58,28.04,6.89,1.81,23.64,34.75,11.48,201352,4.29,80267,38022,4081,151460,853369,62315
1/4/2018,Marketing,217225,70304,96333,211447,67840,108802,73892,182201,118792,85342,666212,7255,85931,36,117,213902,263042,820368,2096296,1254717,1.05,0.59,26.13,44.59,-5.45,11.29,13.42,33.1,10.02,395152,3.6,34764,250239,1914,25622,813449,233745
5/26/2024,Finance,370591,248191,191438,70263,73139,38447,88192,91979,160838,11814,195607,30506,107252,67,54,39364,1730514,839941,2796612,1200278,1.4,1.81,-19.07,23.17,5.47,6.56,64.92,13.18,32.3,383619,8.24,175295,99186,2879,70419,188969,238965
7/25/2017,Finance,330291,253520,94255,280346,96928,16291,118291,134031,99981,84850,738647,79074,74545,76,97,232969,520746,2716862,890782,1155791,1.72,1.67,13.79,3.12,-2.53,-0.12,37.28,44.45,38.77,107300,5.1,193956,135735,3231,88706,378504,495241
1/8/2018,IT,171043,327383,45542,168826,75730,151985,16428,308740,226940,-46443,887963,165441,186375,10,101,203638,601680,798981,1812094,106098,1.44,0.8,-28.44,-5.74,11.08,1.94,68.74,33.04,14.83,94287,7.59,100423,115045,4750,58744,770900,350532
2/4/2015,Finance,70229,549007,96896,66754,65250,194064,116918,63016,242702,328,812419,188028,80977,114,29,232744,1186477,3629329,66146,865397,1.33,2.34,29.73,39.03,15.8,6.91,72.38,35.17,25.71,19424,2.25,88965,299524,4692,79330,121970,105849
6/7/2022,Finance,82914,541159,100317,212422,96608,159369,90274,283401,275636,15624,148648,102447,197686,50,52,252833,759822,2664983,1579417,1701223,2.3,2.15,-28.99,-16.46,14.3,3.11,64.83,35.67,27.6,318126,5.27,139619,201857,1068,173761,33138,498283
11/28/2019,Sales,420612,234901,110811,51888,133724,154384,88336,110981,159952,66499,169171,64730,117874,16,40,-50331,3456625,1813279,1578326,371840,1.58,0.51,2.95,3.81,12.93,9.86,77.7,28.38,30.42,43328,1.89,130381,212647,465,181903,166467,223567
5/23/2016,IT,281755,547985,146877,61067,87163,125377,71326,45162,191735,1311,406642,19313,192078,79,90,23308,2222764,3210619,609202,158286,2.66,0.92,-3.35,-1.66,-1.58,19.29,61.32,33.05,38.91,343467,5.72,17415,106207,2781,104974,303238,300344
1/18/2022,IT,478448,102398,122876,270406,59163,95680,18717,47276,223362,64455,477763,108807,156060,36,116,174764,1226662,2494499,2518654,1903314,2.72,2.12,20.71,-11.94,24.34,9.49,43.62,17.03,30.12,227336,5.47,133594,132149,391,142197,826971,85449
8/5/2024,Operations,408262,395417,44635,295074,23727,173741,108548,346513,154285,-33688,933283,196764,21161,107,41,155074,1883126,3479614,2106037,743220,0.21,0.54,-19.07,14.33,13.2,6.21,12.92,36.28,8.56,323564,5.56,57767,291594,1491,36551,113044,132408
5/21/2021,Finance,80884,517200,86207,125841,89145,90685,12761,366780,46559,65231,906686,179249,73384,35,96,289446,3955012,252844,2038945,715174,1.77,1.17,1.9,-3.04,13.39,16.54,25.82,31.71,28.37,244279,4.44,125737,129048,114,29003,193140,208680
8/22/2021,Finance,388871,289580,73175,32283,22149,112040,103545,64053,200777,-30455,378889,131528,133691,63,90,72998,4221374,626291,2442995,1221740,1.16,1.79,27.65,12.04,6.16,-1.44,25.5,8.12,28.62,288194,2.49,157682,53860,120,109838,592185,428507
12/6/2019,HR,128948,491182,94244,16142,109450,89145,41223,290767,295797,-43293,319019,24057,32844,118,29,172142,2610452,2329759,1394935,1973737,0.64,1.04,-17.76,39.97,-8.68,18.45,16.7,10.37,14.49,459849,2.8,81962,22209,3974,109550,216881,302623
6/23/2024,Finance,98008,382171,66504,236463,128309,178255,137459,385947,192381,11840,377533,119719,143678,51,39,168374,4499472,569527,2068271,1153126,2.34,0.52,-24.35,41.66,1.28,-2.11,19.17,6.04,16.17,420244,6.95,114283,275122,2936,133925,627473,325391
2/13/2022,HR,380585,367722,60591,167941,99712,98933,132360,290588,65368,-38582,348308,18235,36258,87,82,132195,4514189,1332681,415541,736585,2.21,2.45,-0.93,30.63,18.65,-4.87,34.4,33.08,12.25,445690,2.58,128771,215214,3332,106959,28823,329906
9/26/2018,IT,489319,305545,111371,41382,63179,83737,113405,75868,156597,-33755,346223,24718,29009,69,88,-40632,4908436,1648999,2531450,527406,1.98,3.13,16.86,-18.33,-9.43,11.93,37.39,28.38,34.91,85174,8.23,38359,283278,1801,94908,560526,312640
6/9/2024,Sales,244175,191302,110091,278888,109340,79222,83840,233063,236302,11138,985630,143967,169419,80,65,162553,3486377,3275001,1154602,1113030,2.54,1.63,-0.65,20.69,10.48,15.14,29.36,15.46,23.2,216066,4.54,86117,116456,1754,199003,381124,331211
4/30/2022,Finance,205543,222712,139713,297082,17551,120031,35586,363300,245470,-21699,370971,162673,161570,30,46,270437,2874622,278201,461750,1119822,2.59,3.46,28.16,46.53,22.09,18.84,37.57,31.22,34.5,135353,8.5,92148,5395,1231,197521,356052,20100
7/23/2023,IT,261482,479817,159483,220272,34640,141533,89342,377611,73841,-42411,39529,11553,54936,69,56,280698,2185864,1767540,2057846,119252,1.93,2.63,4.78,8.86,-3.84,0.96,76.18,11.36,6.32,450545,7.83,53909,172908,1850,192351,600610,444741
